Programování pro fyziky [NOFY056, přednáška]	52/138/138	2,04:0,86	-
 	Počet	Předmět	Vyučující
Programování v C++ [NPRG041, cvičení]	31/138/139	1,48:0,68	-
Programování v C++ [NPRG041, přednáška]	25/232/139	1,84:0,85	-
Programování v Haskellu [NPRG068, přednáška]	06/28/28	1,17:0,41	-
Programování 1 [NMIN101, cvičení]	57/237/237	1,61:0,77	-
Programování 1 [NMIN101, přednáška]	53/236/237	1,79:0,82	-
Proseminář teoretické fyziky I [NTMF069, cvičení]	23/53/54	1,09:0,29	-
Proseminář z jaderné a částicové fyziky [NJSF148, cvičení]	06/28/14	1,00:0,00	-
Proseminář z Matematické analýzy [NMMA161, cvičení]	05/14/16	1,00:0,00	-
Proseminář z Matematické analýzy 3 [NMMA261, cvičení]	08/24/24	2,63:1,41	-
Proseminář z matematických metod fyziky [NOFY002, cvičení]	42/312/104	2,12:1,02	-
Proseminář z optiky [NOFY010, cvičení]	10/25/25	1,40:0,70	-
Rétorika a komunikace s lidmi I [NPED022, cvičení]	06/24/24	1,33:0,52	-
Riemannova geometrie 1 [NMAG411, cvičení]	05/12/12	2,00:1,41	-
Riemannova geometrie 1 [NMAG411, přednáška]	06/12/12	1,67:0,82	-
Ruský jazyk pro začátečníky I [NJAZ039, cvičení]	05/14/14	1,20:0,45	-
Seminář ústavu teoretické fyziky [NTMF008, cvičení]	5/36/19	1,00:0,00	-
Seminář z prostorů funkcí [NMMA454, cvičení]	5/39/13	1,00:0,00	-
Sociální dovednosti a práce s lidmi I [NUFY105, cvičení]	14/28/28	3,57:1,28	-
Softwarové prostředky pro matematiku a stochastiku [NMSA230, cvičení]	15/42/42	2,13:1,06	-
 	Počet	Předmět	Vyučující
Speciální teorie relativity [NOFY023, přednáška]	31/87/87	1,39:0,67	-
Statistické metody zpracování přirozených jazyků I [NPFL067, cvičení]	5/48/24	1,60:0,55	-
Statistické metody zpracování přirozených jazyků I [NPFL067, přednáška]	7/48/24	1,29:0,49	-
Statistika pro finanční matematiky [NMFM301, cvičení]	07/18/18	1,57:0,53	-
Statistika pro finanční matematiky [NMFM301, přednáška]	07/18/18	1,43:0,53	-
Španělský jazyk pro pokročilé I [NJAZ108, cvičení]	05/14/14	1,20:0,45	-
Španělský jazyk pro začátečníky I [NJAZ017, cvičení]	06/15/15	1,17:0,41	-
Teoretická kryptografie I [NMMB307, přednáška]	12/18/18	1,92:0,90	-
Teoretická mechanika [NOFY003, cvičení]	33/88/88	1,09:0,38	-
Teoretická mechanika [NUFY029, cvičení]	07/11/11	1,43:0,79	-
Teoretická mechanika [NOFY003, přednáška]	37/176/88	1,05:0,23	-
Teoretická mechanika [NUFY028, přednáška]	06/15/15	1,83:1,17	-
Teorie míry a integrálu [NMMA203, cvičení]	29/86/86	1,62:0,82	-
Teorie míry a integrálu [NMMA203, přednáška]	26/86/86	1,81:0,85	-
Teorie modelů [NMAG407, přednáška]	06/14/16	1,00:0,00	-
Teorie optimalizace [NMSA403, cvičení]	7/32/32	2,00:0,82	-
Teorie optimalizace [NMSA403, přednáška]	9/32/32	1,89:0,78	-
Teorie pravděpodobnosti 1 [NMSA333, cvičení]	15/28/28	1,53:0,74	-
Teorie pravděpodobnosti 1 [NMSA333, přednáška]	16/28/28	2,00:1,10	-
 	Počet	Předmět	Vyučující
Teorie pravděpodobnosti 2 [NMSA405, cvičení]	11/25/25	1,55:0,82	-
Teorie pravděpodobnosti 2 [NMSA405, přednáška]	09/25/25	1,33:0,71	-
Teorie rizika [NMFM503, cvičení]	05/10/10	2,20:1,10	-
Teorie rizika [NMFM503, přednáška]	05/10/10	1,80:0,84	-
Termodynamika a statistická fyzika [NOFY031, cvičení]	22/53/53	1,50:0,80	-
Termodynamika a statistická fyzika [NUFY094, cvičení]	7/48/25	1,57:0,79	-
Termodynamika a statistická fyzika [NOFY031, přednáška]	16/53/53	1,75:1,06	-
Termodynamika a statistická fyzika [NUFY094, přednáška]	7/50/25	1,57:0,79	-
Termodynamika a statistická fyzika I [NTMF043, cvičení]	10/22/22	1,30:0,67	-
Termodynamika a statistická fyzika I [NTMF043, přednáška]	09/22/22	1,11:0,33	-
Účetnictví 1 [NMFM101, cvičení]	8/60/60	1,63:0,92	-
Účetnictví 1 [NMFM101, přednáška]	10/60/60	1,80:0,92	-
Umělá inteligence I [NAIL069, cvičení]	17/89/89	1,47:0,72	-
Umělá inteligence I [NAIL069, přednáška]	17/88/89	1,53:0,72	-
Universální algebra 1 [NMAG405, cvičení]	07/12/15	1,29:0,49	-
Universální algebra 1 [NMAG405, přednáška]	05/12/15	1,00:0,00	-
Úvod do analýzy na varietách [NMAG335, cvičení]	09/20/20	1,67:1,00	-
Úvod do analýzy na varietách [NMAG335, přednáška]	09/20/20	1,56:0,88	-
Úvod do funkcionální analýzy [NMMA331, cvičení]	05/16/16	1,00:0,00	-
 	Počet	Předmět	Vyučující
Úvod do funkcionální analýzy [NMMA331, přednáška]	06/16/16	1,50:0,84	-
Úvod do komplexní analýzy [NMMA301, cvičení]	32/71/71	2,09:0,96	-
Úvod do komplexní analýzy [NMMA301, přednáška]	32/71/71	1,63:0,79	-
Úvod do počítačové lingvistiky [NPFL012, přednáška]	19/87/89	2,00:0,82	-
Úvod do počítačových sítí [NSWI141, přednáška]	58/420/210	2,12:1,01	-
Úvod do praktické fyziky [NOFY055, cvičení]	53/134/134	1,77:0,87	-
Úvod do programování a práce s počítačem [NPRF026, cvičení]	06/19/19	1,67:0,82	-
Úvod do programování a práce s počítačem [NPRF026, přednáška]	6/38/19	2,67:1,63	-
Úvod do řešení problémů kombinatorických, mat. i jiných (IPS) I [NDMI050, cvičení]	20/180/60	1,10:0,31	-
Úvod do teorie grup [NMAG337, cvičení]	10/24/24	2,40:1,17	-
Úvod do teorie grup [NMAG337, přednáška]	10/24/24	2,00:0,94	-
Úvod do teorie interpolací 1 [NMMA533, přednáška]	08/16/16	1,25:0,46	-
Vybrané partie teorie kvantovaných polí I [NJSF082, přednáška]	05/10/11	1,20:0,45	-
Vyhledávání informací [NPFL103, přednáška]	05/26/26	2,00:0,71	-
Výpočetní prostředky finanční a pojistné matematiky [NMFM308, přednáška]	05/13/13	2,60:0,55	-
Výroková a predikátová logika [NAIL062, cvičení]	35/124/125	1,83:0,86	-
Výroková a predikátová logika [NAIL062, přednáška]	27/124/125	2,11:1,01	-
Vývoj počítačových her [NSWI115, cvičení]	8/84/21	1,25:0,71	-
Vývoj počítačových her [NSWI115, přednáška]	8/84/21	1,38:0,74	-
 	Počet	Předmět	Vyučující
Webové aplikace [NSWI142, cvičení]	13/108/55	1,62:0,77	-
Webové aplikace [NSWI142, přednáška]	13/55/55	1,38:0,65	-
Základy aritmetiky a algebry I [NMUM105, cvičení]	8/62/62	2,50:1,31	-
Základy aritmetiky a algebry I [NMUM105, přednáška]	9/62/62	2,22:0,97	-
Základy numerické matematiky [NMNM201, cvičení]	28/74/75	2,14:1,01	-
Základy numerické matematiky [NMNM201, přednáška]	29/148/75	2,38:1,32	-
Základy počítačové grafiky [NPGR003, cvičení]	14/99/99	1,79:1,05	-
Základy počítačové grafiky [NPGR003, přednáška]	14/99/99	1,64:1,01	-
Základy prostorové geometrie [NMUM205, cvičení]	07/30/31	2,14:1,46	-
Základy prostorové geometrie [NMUM205, přednáška]	08/30/31	2,25:1,39	-
Základy složitosti a vyčíslitelnosti [NTIN090, cvičení]	27/127/127	1,81:1,11	-
Základy složitosti a vyčíslitelnosti [NTIN090, přednáška]	28/127/127	2,00:1,02	-
Základy zobrazovacích metod [NMUM303, cvičení]	8/33/33	1,50:1,41	-
Základy zobrazovacích metod [NMUM303, přednáška]	12/33/33	1,50:1,24	-
Životní pojištění 1 [NMFM405, cvičení]	09/22/23	1,44:0,53	-
Životní pojištění 1 [NMFM405, přednáška]	10/22/23	1,10:0,32	-
